# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258 and 259; PDF pages 268 and 269; Figures 161, 162, and 163
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
monohull,free,sinkage_over_draught,42,1259.00,2580.00,0.452988,0.0818898,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,43,1286.00,2549.00,0.465955,0.0892126,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,44,1305.00,2568.00,0.475080,0.0847244,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,45,1329.00,2542.00,0.486606,0.0908661,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,46,1341.00,2560.00,0.492369,0.0866142,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,47,1354.00,2575.00,0.498613,0.0830709,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,48,1375.00,2556.00,0.508698,0.0875591,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,49,1397.00,2575.00,0.519264,0.0830709,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,50,1399.00,2594.00,0.520224,0.0785827,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,51,1420.00,2568.00,0.530309,0.0847244,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,52,1475.00,2600.00,0.556724,0.0771654,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,53,1477.00,2578.00,0.557684,0.0823622,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,54,1514.00,2634.00,0.575454,0.0691339,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,55,1551.00,2631.00,0.593223,0.0698425,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,56,1586.00,2627.00,0.610032,0.0707874,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,57,1630.00,2650.00,0.631163,0.0653543,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,58,1680.00,2664.00,0.655176,0.0620472,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,59,1748.00,2673.00,0.687834,0.0599213,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,60,1861.00,2690.00,0.742102,0.0559055,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,61,1975.00,2721.00,0.796852,0.0485827,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,62,2096.00,2732.00,0.854963,0.0459843,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,63,2213.00,2745.00,0.911153,0.0429134,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,64,2315.00,2759.00,0.960139,0.0396063,dimensionless,0.003,0.00100,162
