attitude,configuration,observable,figure,mismatch,resolution,x_px,y_px
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1517.500,1150.667
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1572.455,1152.215
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1630.310,1191.241
free,s_l_0_2,cwp,167,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1749.143,1235.071
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,589.000,2954.000
free,s_l_0_2,sinkage_over_draught,166,pass_a_missing,accepted_pass_b_after_source_curve_recheck,696.944,2953.250
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,703.000,2915.000
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,749.000,2906.000
free,s_l_0_2,sinkage_over_draught,166,pass_a_missing,accepted_pass_b_after_source_curve_recheck,755.280,2946.833
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,757.000,2888.000
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,793.000,2887.000
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,814.000,2875.000
free,s_l_0_2,sinkage_over_draught,166,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,833.000,2869.000
