configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-free-SL0.5	177	276	266	CT	1470.698	811.403	0.554382	0.00884129	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1512.285	829.990	0.574196	0.00869529	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1581.303	881.894	0.607079	0.00828756	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1628.737	918.573	0.629679	0.00799942	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1651.542	921.824	0.640544	0.00797389	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1711.777	958.988	0.669243	0.00768194	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1742.278	970.225	0.683774	0.00759368	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1779.413	1013.037	0.701467	0.00725737	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1792.690	984.750	0.707793	0.00747958	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1856.911	1014.699	0.738391	0.00724431	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1857.686	1049.010	0.738760	0.00697478	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1962.360	1051.299	0.788631	0.00695680	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	1974.023	1080.387	0.794188	0.00672830	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	2048.371	1059.596	0.829610	0.00689163	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	2100.027	1087.007	0.854221	0.00667630	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	2118.744	1080.342	0.863139	0.00672865	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	2207.650	1121.123	0.905498	0.00640830	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	2231.709	1099.365	0.916961	0.00657922	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
