configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-SL0.3	170	272	262	sinkage_over_draught	1696.276	2714.046	0.655747	0.0413173	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1719.557	2719.086	0.666898	0.0401362	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1792.694	2739.400	0.701929	0.0353751	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1876.003	2780.411	0.741832	0.0257629	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1879.454	2761.475	0.743485	0.0302012	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1957.227	2841.964	0.780737	0.0113365	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	1988.440	2832.631	0.795687	0.0135240	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	2107.457	2891.528	0.852694	-0.0002801	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	634.095	2732.879	0.160778	0.0140568	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	687.456	2727.044	0.186297	0.0154285	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	755.573	2699.853	0.218871	0.0218214	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	780.033	2691.749	0.230569	0.0237266	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	810.183	2681.098	0.244987	0.0262310	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	838.120	2665.324	0.258346	0.0299395	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	864.342	2648.975	0.270886	0.0337833	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	899.762	2623.644	0.287824	0.0397389	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	943.365	2595.011	0.308676	0.0464709	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	976.116	2579.918	0.324338	0.0500192	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1003.939	2542.537	0.337643	0.0588079	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1031.451	2516.361	0.350800	0.0649622	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1093.753	2450.909	0.380594	0.0803506	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1146.565	2358.005	0.405849	0.1021933	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1225.214	2331.645	0.443461	0.1083906	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1333.813	2382.070	0.495394	0.0965351	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1460.084	2480.044	0.555779	0.0735005	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1636.952	2553.794	0.640360	0.0561613	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	sinkage_over_draught	1691.840	2570.350	0.666608	0.0522688	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
