configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-fixed-SL0.4	141	257	247	CT	1839.986	1101.808	0.718833	0.00674757	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1928.028	1100.597	0.761003	0.00675712	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1929.895	1124.666	0.761898	0.00656731	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	2023.376	1125.040	0.806673	0.00656435	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	592.720	1218.284	0.127588	0.00572072	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	687.025	1262.870	0.172662	0.00536882	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	788.033	1264.851	0.220940	0.00535319	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	825.861	1251.042	0.239020	0.00546218	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	850.500	1228.000	0.250797	0.00564404	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	868.094	1238.536	0.259206	0.00556088	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	895.837	1231.268	0.272466	0.00561825	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	922.142	1206.386	0.285039	0.00581463	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	943.696	1183.609	0.295340	0.00599441	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	967.106	1183.327	0.306529	0.00599663	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1005.307	1204.029	0.324788	0.00583324	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1027.497	1206.875	0.335394	0.00581077	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1061.476	1194.870	0.351635	0.00590552	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1088.837	1170.691	0.364712	0.00609636	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1111.697	1137.681	0.375639	0.00635690	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1138.438	1087.565	0.388419	0.00675245	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1160.368	1052.474	0.398901	0.00702941	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1184.479	1015.009	0.410426	0.00732510	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1229.182	963.493	0.431792	0.00773171	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1292.600	935.162	0.462103	0.00795531	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1365.864	928.622	0.497120	0.00800693	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1432.513	934.380	0.528976	0.00796149	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1483.765	943.817	0.553472	0.00788700	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1529.859	962.289	0.575503	0.00774121	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1554.035	979.178	0.587059	0.00760791	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1642.550	1002.666	0.629365	0.00742253	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1736.376	1038.549	0.674211	0.00713932	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1829.659	1057.500	0.718796	0.00698974	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	1919.053	1111.018	0.761523	0.00656734	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	143	258	248	CT	2109.233	1166.598	0.852422	0.00612866	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
