# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,sinkage_over_draught,19,1112.00,2509.00,0.388363,0.0857592,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,20,1135.00,2488.00,0.399362,0.0907160,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,21,1161.00,2468.00,0.411796,0.0954367,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,22,1193.00,2432.00,0.427099,0.1039339,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,23,1226.00,2432.00,0.442880,0.1039339,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,24,1269.00,2434.00,0.463443,0.1034618,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,25,1298.00,2459.00,0.477311,0.0975610,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,26,1328.00,2454.00,0.491658,0.0987411,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,27,1341.00,2467.00,0.497875,0.0956727,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,28,1388.00,2498.00,0.520351,0.0883556,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,29,1437.00,2519.00,0.543783,0.0833989,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,30,1463.00,2507.00,0.556217,0.0862313,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,31,1463.00,2526.00,0.556217,0.0817467,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,32,1538.00,2553.00,0.592083,0.0753737,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,33,1541.00,2571.00,0.593518,0.0711251,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,34,1572.00,2605.00,0.608342,0.0630999,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,35,1617.00,2605.00,0.629862,0.0630999,dimensionless,0.003,0.00100,178
s_l_0_5,free,sinkage_over_draught,36,1644.00,2622.00,0.642774,0.0590873,dimensionless,0.003,0.00100,178
